customer_tweet_id,brand_tweet_id,customer_text,brand_response
3,1,@sprintcare I have sent several private messages and no one is responding as usual,@115712 I understand. I would like to assist you. We would need to get you into a private secured link to further assist.
5,4,@sprintcare I did.,@115712 Please send us a Private Message so that we can further assist you. Just click ‘Message’ at the top of your profile.
8,6,@sprintcare is the worst customer service,"@115712 Can you please send us a private message, so that I can gain further details about your account?"
12,11,@sprintcare You gonna magically change your connectivity for me and my whole family ? 🤥 💯,"@115713 This is saddening to hear. Please shoot us a DM, so that we can look into this for you. -KC"
16,15,@sprintcare Since I signed up with you....Since day 1,"@115713 We understand your concerns and we'd like for you to please send us a Direct Message, so that we can further assist you. -AA"
18,17,"@115714 y’all lie about your “great” connection. 5 bars LTE, still won’t load something. Smh.","@115713 H there! We'd definitely like to work with you on this, how long have you been experiencing this issue? -AA"
20,19,"@115714 whenever I contact customer support, they tell me I have shortcode enabled on my account, but I have never in the 4 years I've tried https://t.co/0G98RtNxPK",@115715 Please send me a private message so that I can send you the link to access your account. -FR
1288,1285,@115714 fuck you fix my connection,@115950 This is really concerning to us and we would love to help. Can you let us know what issues you are having with your connection. KB
1287,1289,@sprintcare Well if you could fix your fucking potato towers out here in Albuquerque that would be a start. https://t.co/qyDs2dbgQI,@115950 Hi there! Service issues huh? Let us take a look into this for you. Shoot us a DM to assist further. -JA
1293,1291,@115714 @sprintcare how can I get in touch with someone that matters at Spring Corporate,@115712 Just click ‘Message’ at the top of your profile. We're always here and eager to assist.
1292,1294,@sprintcare I've sent several private messages!!! and no one responds!,@115712 Do you have a good contact number where you can be reached?
1293,1296,@115714 @sprintcare how can I get in touch with someone that matters at Spring Corporate,@115712 Do you have a good contact number where you can be reached? Please send through the private link.
1299,1298,@115913 I'm a #TMobile customer getting the runaround from @115714 to unlock ported phones. Now my kids don't have phones 2nite. Help!,@115951 Get started here: https://t.co/dYSbRQ3CL0 Conversation will be continued in your secured web browser. -FR
1299,1300,@115913 I'm a #TMobile customer getting the runaround from @115714 to unlock ported phones. Now my kids don't have phones 2nite. Help!,@115951 Hello please go to the link I will need additional information to work on getting phones unlocked. -FR
1303,1302,"@115714 After those 12 months, if you decided to upgrade what happens to the remaining 6 months if you’re on a 18 mo Flex lease like me?",@115952 Hey we would love to further educate you on our amazing Sprint Flex Lease option. Send us a DM lets chat. -CW
1312,1311,@115714 you wanna actually turn on your internet towers to work or nah?,"@115953 Hey Tayler, having service issues? Shoot us a DM for further assistance! -RW"
2102,2101,@sprintcare Yes I do. You want me to dm you or just write it on the comments???,@116169 Yes dm please.
2104,2103,@115714 @177 I haven’t received no type of new besides my Oder is pending for day.,"@116169 Hello, do you have an order number we can check for you?"
2111,2110,"@115714 customer service 👎! 4 different people said they have no idea how to help, the two people who actually have tried did it wrong 😡",@116171 Good afternoon. This is distressing. Send me a DM so I can see what happened.
2114,2112,@115714 chk ur latest bill. I paid for note 8 shipping w/debit when ordered. Latest bill shows ship charge. This happened to other friends.,"@116172 Hey :)! Let's look into this, DM us. -CS"
2116,2115,"@sprintcare You’re a bunch of crooks, you don’t care about happy customers, y’all just want money, save me the BS",@116173 Hey Tiffany! I'd like to work with you on your issues. Can you shoot us a DM for us to have a little chat? -ResolutionSup DC
2121,2120,@115714 is honestly trash,@116173 This is concerning. What makes you feel this way? What seems to be the issue? We'll be happy to assist. -JD
3178,3176,"@sprintcare mine and my brothers data is barely working, we have full signal but nothing is loading &amp; when it does load its very slow, help!","@116445 You’ve reached the right place, please shoot us a DM, in order for us to further assist you. -AA"
3181,3179,I want to go see to @115725 and leave @115714 they are liars,@116446 What have you feeling this way? We would love to assist you.-DD
